年月,港口別,總計,進港,出港,進口實櫃,進口空櫃,出口實櫃,出口空櫃,轉口實櫃,轉口空櫃,國內貨櫃實櫃,國內貨櫃空櫃
200101,國際商港,757557.75,380881.75,376676,134388.25,77345.5,193133.5,10477.75,294162.75,48050,0,0
200101,基隆港,128067.5,71625,56442.5,47244.5,20042.5,49391.25,2445,8798.25,146,0,0
200101,臺中港,73364.5,37248,36116.5,13637,13981,24404.5,130,19285,1927,0,0
200101,高雄港,556125.75,272008.75,284117,73506.75,43322,119337.75,7902.75,266079.5,45977,0,0
200101,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200101,臺北港,0,0,0,0,0,0,0,0,0,0,0
200101,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200101,安平港,0,0,0,0,0,0,0,0,0,0,0
200102,國際商港,775479.25,384994,390485.25,134277.5,83353.5,214877.75,15798.75,271063,56108.75,0,0
200102,基隆港,135388,71408,63980,46520,21021,57133.75,3055.25,7041,617,0,0
200102,臺中港,82504.5,38857,43647.5,15080,16212,33610.5,230,17361,11,0,0
200102,高雄港,557450.75,274729,282721.75,72677.5,46120.5,123997.5,12513.5,246661,55480.75,0,0
200102,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200102,臺北港,0,0,0,0,0,0,0,0,0,0,0
200102,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200102,安平港,136,0,136,0,0,136,0,0,0,0,0
200103,國際商港,929237.25,455451,473786.25,171649.25,83013.5,260969.5,19572.25,335764.75,58268,0,0
200103,基隆港,164022.5,83442.5,80580,59110,19688.5,71641,4710,8695,178,0,0
200103,臺中港,99769.5,48189.5,51580,19870,19338.5,39274,619,20660,8,0,0
200103,高雄港,665324.25,323698,341626.25,92669.25,43865.5,150054.5,14243.25,306409.75,58082,0,0
200103,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200103,臺北港,0,0,0,0,0,0,0,0,0,0,0
200103,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200103,安平港,121,121,0,0,121,0,0,0,0,0,0
200104,國際商港,874790.75,431107.75,443683,164032.5,80926.75,237600,19649,315294,57288.5,0,0
200104,基隆港,159412.75,83086,76326.75,57700.5,20543.5,68683.75,2865,9518,102,0,0
200104,臺中港,91511,44988.5,46522.5,18101,17319.5,33810.5,627,21653,0,0,0
200104,高雄港,623570,302854.25,320715.75,88206,42909.75,134987.75,16157,284123,57186.5,0,0
200104,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200104,臺北港,0,0,0,0,0,0,0,0,0,0,0
200104,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200104,安平港,297,179,118,25,154,118,0,0,0,0,0
200105,國際商港,901189.75,450308.25,450881.5,160927.25,92001.75,244902.25,22600.75,324274,56483.75,0,0
200105,基隆港,159886.25,82801,77085.25,55172.25,22592.75,69042.75,3142.5,9647,289,0,0
200105,臺中港,92845,44158,48687,16815,17079,34666,582,23703,0,0,0
200105,高雄港,648223.5,323197.25,325026.25,88940,52178,141110.5,18876.25,290924,56194.75,0,0
200105,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200105,臺北港,0,0,0,0,0,0,0,0,0,0,0
200105,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200105,安平港,235,152,83,0,152,83,0,0,0,0,0
200106,國際商港,876872.25,435343.5,441528.75,150802,86471.25,230357.75,15142.5,344757.5,49341.25,0,0
200106,基隆港,150410.75,76347,74063.75,51630.25,20076.75,66731.75,2236,9725,11,0,0
200106,臺中港,86753.5,40632.5,46121,15915,13966.5,32145,164,24556,7,0,0
200106,高雄港,639708,318364,321344,83256.75,52428,131481,12742.5,310476.5,49323.25,0,0
200106,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200106,臺北港,0,0,0,0,0,0,0,0,0,0,0
200106,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
200106,安平港,0,0,0,0,0,0,0,0,0,0,0
200107,國際商港,875134.75,422328.25,452806.5,145463.5,77157,236519.5,22242.75,345733.75,48018.25,0,0
200107,基隆港,145429.25,73199.25,72230,47886.75,19318.5,63452.5,2284.75,12070.75,416,0,0
200107,臺中港,87325,41426.5,45898.5,15459,15101.5,32476.5,280,24008,0,0,0
200107,高雄港,642080.5,307536.5,334544,82116.75,42572,140456.5,19678,309655,47602.25,0,0
200107,花蓮港,0,0,0,0,0,0,0,0,0,0,0
200107,臺北港,0,0,0,0,0,0,0,0,0,0,0
200107,蘇澳港,0,0,0,0,0,0,0,0,0,0,0
