"幣別","按美元計算/ 貿易總值","按美元計算/ 出口總值","按美元計算/ 進口總值","按美元計算/ 出(入)超"
"90年",236194.231,126608.592,109585.639,17022.953
"90年 1月",19550.425,10064.663,9485.763,578.9
"90年 2月",19659.423,10389.157,9270.266,1118.891
"90年 3月",22213.69,12003.917,10209.773,1794.145
"90年 4月",21872.949,11152.057,10720.892,431.165
"90年 5月",19538.677,10406.649,9132.028,1274.621
"90年 6月",19449.638,10609.009,8840.629,1768.38
"90年 7月",19407.86,10023.783,9384.078,639.705
"90年 8月",17635.351,9773.224,7862.127,1911.098
"90年 9月",17065.31,9138.493,7926.817,1211.676
"90年 10月",21780.871,11862.545,9918.326,1944.219
"90年 11月",18652.605,10515.619,8136.985,2378.634
"90年 12月",19367.433,10669.476,8697.956,1971.52
"91年",250882.61,135769.775,115112.835,20656.94
"91年 1月",17611.854,10051.537,7560.318,2491.219
"91年 2月",15003.123,8303.384,6699.739,1603.645
"91年 3月",22319.803,11925.107,10394.696,1530.411
"91年 4月",21246.545,11288.025,9958.519,1329.506
"91年 5月",21084.451,11422.8,9661.651,1761.149
"91年 6月",21494.793,11652.051,9842.742,1809.309
"91年 7月",22443.913,11581.454,10862.458,718.996
"91年 8月",20609.817,11305.274,9304.543,2000.731
"91年 9月",22518.241,11762.875,10755.365,1007.51
"91年 10月",22330.951,11921.957,10408.995,1512.962
"91年 11月",21922.258,12356.73,9565.528,2791.202
"91年 12月",22296.861,12198.581,10098.28,2100.301
"92年",281578.557,151334.45,130244.108,21090.342
"92年 1月",20242.032,10519.126,9722.906,796.22
"92年 2月",18855.561,10210.172,8645.389,1564.783
"92年 3月",24434.302,13244.704,11189.598,2055.107
"92年 4月",22774.294,12093.752,10680.543,1413.209
"92年 5月",21501.381,11745.597,9755.783,1989.814
"92年 6月",22701.985,12153.952,10548.033,1605.919
"92年 7月",22819.407,12216.066,10603.342,1612.724
"92年 8月",23585.161,12960.902,10624.259,2336.643
"92年 9月",24456.282,13242.064,11214.219,2027.845
"92年 10月",24852.648,13714.892,11137.756,2577.136
"92年 11月",27166.456,14501.431,12665.025,1836.406
"92年 12月",28189.048,14731.792,13457.255,1274.537
"93年",355178.225,183631.186,171547.039,12084.146
"93年 1月",23279.228,12448.066,10831.162,1616.905
"93年 2月",27333.763,13894.179,13439.584,454.595
"93年 3月",29941.79,15529.974,14411.816,1118.158
"93年 4月",28235.225,14824.711,13410.514,1414.196
"93年 5月",31373.662,16536.549,14837.113,1699.436
"93年 6月",30249.345,15299.782,14949.562,350.22
"93年 7月",29522.281,15456.057,14066.224,1389.832
"93年 8月",29719.944,15542.448,14177.496,1364.952
"93年 9月",30261.914,15767.656,14494.258,1273.397
"93年 10月",31583.092,16230.536,15352.556,877.98
"93年 11月",31667.618,16393.761,15273.857,1119.904
"93年 12月",32010.362,15707.466,16302.896,-595.429
"94年",385182.76,199752.569,185430.191,14322.378
"94年 1月",32034.45,16210.367,15824.083,386.283
"94年 2月",23448.797,12301.241,11147.556,1153.685
"94年 3月",33123.679,16615.113,16508.566,106.547
"94年 4月",32350.914,16474.639,15876.275,598.364
"94年 5月",33699.019,17234.795,16464.224,770.571
"94年 6月",30957.372,15652.409,15304.962,347.447
"94年 7月",31641.581,16277.177,15364.405,912.772
"94年 8月",32434.154,16700.894,15733.26,967.633
"94年 9月",32925.461,17129.826,15795.634,1334.192
"94年 10月",35615.663,18901.549,16714.114,2187.435
"94年 11月",34285.836,18157.038,16128.799,2028.239
"94年 12月",32665.833,18097.521,14568.313,3529.208
"95年",432346.467,225904.198,206442.269,19461.928
"95年 1月",31766.007,16970.895,14795.112,2175.783
"95年 2月",31951.858,15552.209,16399.649,-847.439
"95年 3月",34665.658,18055.404,16610.253,1445.151
"95年 4月",35750.478,18963.73,16786.748,2176.982
"95年 5月",37554.072,19077.426,18476.646,600.779
"95年 6月",35419.824,18262.544,17157.28,1105.265
"95年 7月",37970.905,19736.566,18234.339,1502.227
"95年 8月",37889.963,19502.036,18387.927,1114.109
"95年 9月",37692.191,20266.444,17425.747,2840.697
"95年 10月",37806.873,20002.072,17804.801,2197.271
"95年 11月",37128.713,19696.99,17431.723,2265.267
"95年 12月",36749.926,19817.882,16932.044,2885.837
"96年",471651.638,248669.973,222981.666,25688.307
"96年 1月",38336.72,20007.771,18328.949,1678.822
"96年 2月",28008.902,15029.08,12979.822,2049.258
"96年 3月",37920.36,19927.905,17992.456,1935.449
"96年 4月",38649.998,19986.481,18663.518,1322.963
"96年 5月",38199.632,19726.076,18473.556,1252.52
"96年 6月",39225.97,20262.366,18963.604,1298.761
"96年 7月",42567.187,21407.195,21159.992,247.203
"96年 8月",39731.154,21428.157,18302.997,3125.16
"96年 9月",41613.806,22342.66,19271.146,3071.514
"96年 10月",42390.028,22876.554,19513.473,3363.081
"96年 11月",39888.441,22035.977,17852.465,4183.512
"96年 12月",45119.439,23639.75,21479.688,2160.062
"97年",501952.027,257754.83,244197.197,13557.633
"97年 1月",43235.878,22292.685,20943.193,1349.492
"97年 2月",34097.476,17784.443,16313.033,1471.411
"97年 3月",49060.015,24441.809,24618.207,-176.398
"97年 4月",44777.529,22796.364,21981.165,815.198
"97年 5月",45403.972,23765.866,21638.106,2127.76
"97年 6月",47655.202,24523.637,23131.565,1392.072
"97年 7月",46713.016,23081.494,23631.522,-550.027
"97年 8月",50864.307,25412.537,25451.77,-39.233
"97年 9月",43195.891,22036.357,21159.534,876.823
"97年 10月",38953.014,20963.642,17989.372,2974.27
"97年 11月",32311.094,16911.856,15399.238,1512.618
"97年 12月",25684.632,13744.14,11940.493,1803.647
"98年",382334.287,205201.752,177132.536,28069.216
"98年 1月",21574.541,12475.207,9099.334,3375.873
"98年 2月",23756.718,12728.107,11028.612,1699.495
"98年 3月",28099.25,15677.209,12422.041,3255.169
"98年 4月",27880.137,14952.218,12927.919,2024.299
"98年 5月",29494.83,16300.37,13194.46,3105.91
"98年 6月",32470,17063.82,15406.18,1657.639
"98年 7月",32927.262,17372.173,15555.089,1817.085
"98年 8月",36383.293,19127.883,17255.41,1872.472
"98年 9月",35911.724,19219.312,16692.412,2526.9
"98年 10月",36812.137,19975.727,16836.409,3139.318
"98年 11月",38307.786,20153.381,18154.405,1998.976
"98年 12月",38716.611,20156.345,18560.266,1596.079
"99年",533097.837,277352.073,255745.764,21606.309
"99年 1月",41435.083,21895.905,19539.178,2356.727
"99年 2月",32830.28,16805.587,16024.693,780.894
"99年 3月",45966.534,23567.397,22399.137,1168.26
